,f1,f2,cor
67,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.sensor.stepcounter,0.0
68,android.permission.BIND_APPWIDGET,android.hardware.faketouch.multitouch.jazzhand,0.0
69,android.permission.BIND_APPWIDGET,android.hardware.faketouch.multitouch.distinct,0.0
70,android.permission.BIND_APPWIDGET,android.hardware.telephony.gsm,0.0
71,android.permission.BIND_APPWIDGET,android.hardware.telephony.cdma,0.0
72,android.permission.BIND_APPWIDGET,android.hardware.sensor.stepcounter,0.0
73,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.bluetooth_le,0.0
74,android.permission.BIND_APPWIDGET,android.hardware.sensor.gyroscope,0.0
75,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.camera.any,0.0
76,android.permission.BIND_APPWIDGET,android.hardware.sensor.barometer,0.0
77,android.permission.BIND_APPWIDGET,android.hardware.nfc.hce,0.0
78,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.fingerprint,0.0
79,android.permission.BIND_APPWIDGET,android.hardware.nfc,0.0
80,android.permission.BIND_APPWIDGET,android.hardware.fingerprint,0.0
81,android.permission.BIND_APPWIDGET,android.hardware.camera.any,0.0
82,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.nfc,0.0
83,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.nfc.hce,0.0
84,android.permission.BIND_APPWIDGET,android.hardware.bluetooth_le,0.0
85,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.sensor.barometer,0.0
86,android.permission.ACCESS_CHECKIN_PROPERTIES,android.hardware.sensor.gyroscope,0.0
87,android.permission.BIND_APPWIDGET,android.hardware.touchscreen.multitouch.jazzhand,0.0
88,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.providers.gsf.permission.READ_GSERVICES,0.0
89,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.INSTALL_DYNAMIC_SYSTEM,0.0
90,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.BLUETOOTH_PRIVILEGED,0.0
91,android.permission.PACKAGE_USAGE_STATS,android.permission.KILL_BACKGROUND_PROCESSES,0.0
92,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_WALLPAPER,0.0
93,android.permission.PACKAGE_USAGE_STATS,android.permission.READ_LOGS,0.0
94,android.permission.PACKAGE_USAGE_STATS,android.permission.CHANGE_CONFIGURATION,0.0
95,android.permission.PACKAGE_USAGE_STATS,android.permission.BACKUP,0.0
96,android.permission.PACKAGE_USAGE_STATS,android.permission.DISABLE_KEYGUARD,0.0
97,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_DISPLAY_OFFSET,0.0
98,android.permission.PACKAGE_USAGE_STATS,android.permission.BIND_CONDITION_PROVIDER_SERVICE,0.0
99,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.ACCESS_NOTIFICATION_POLICY,0.0
100,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.NFC,0.0
101,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_WALLPAPER_COMPONENT,0.0
102,android.permission.PACKAGE_USAGE_STATS,android.permission.DELETE_CACHE_FILES,0.0
103,android.permission.PACKAGE_USAGE_STATS,android.permission.FLASHLIGHT,0.0
